DateTime, Milliseconds,V,I,Soc,NTC0,NTC1,NTC2,NTC3,NTC4,NTC5,Tdht,Hdht,Vt0,Vt1,Vt2,Vt3,Vt4,Rt0,Rt1,Rt2,Rt3,Rt4,Tt0,Tt1,Tt2,Tt3,Tt4
2023-10-27 14:24:48.209293,1007, NAN, NAN, NAN, NAN, NAN, NAN, NAN, NAN, NAN,22.50,78.90,3.85,3.86,3.83,3.84,3.85,109393.88,108381.55,108112.79,108335.55,108392.41,23.03,23.24,23.29,23.25,23.24
2023-10-27 14:24:49.363936,2158, NAN, NAN, NAN, NAN, NAN, NAN, NAN, NAN, NAN,22.50,78.90,3.85,3.86,3.83,3.84,3.85,109411.04,108483.95,107978.87,108420.12,108239.17,23.03,23.22,23.32,23.23,23.27
2023-10-27 14:24:50.512421,3306, NAN, NAN, NAN, NAN, NAN, NAN, NAN, NAN, NAN,22.50,78.90,3.85,3.86,3.83,3.84,3.85,109755.29,108620.80,107962.16,108487.87,108137.16,22.95,23.19,23.33,23.22,23.29
2023-10-27 14:24:51.666969,4457, NAN, NAN, NAN, NAN, NAN, NAN, NAN, NAN, NAN,22.50,78.90,3.85,3.86,3.83,3.84,3.85,109669.06,108620.80,108129.55,108606.52,108341.30,22.97,23.19,23.29,23.19,23.25
2023-10-27 14:24:52.815498,5605, NAN, NAN, NAN, NAN, NAN, NAN, NAN, NAN, NAN,22.50,78.90,3.86,3.86,3.83,3.84,3.85,109893.41,108740.80,108196.63,108386.27,108324.27,22.93,23.16,23.28,23.24,23.25
2023-10-27 14:24:53.970227,6756, NAN, NAN, NAN, NAN, NAN, NAN, NAN, NAN, NAN,22.50,78.90,3.86,3.86,3.83,3.84,3.85,110153.20,108912.48,108230.19,108015.02,108188.18,22.87,23.13,23.27,23.31,23.28
2023-10-27 14:24:55.118700,7904, NAN, NAN, NAN, NAN, NAN, NAN, NAN, NAN, NAN,22.50,78.90,3.86,3.86,3.83,3.84,3.85,110274.75,108672.21,108129.55,108301.73,108324.27,22.85,23.18,23.29,23.26,23.25
2023-10-27 14:24:56.273633,9055, NAN, NAN, NAN, NAN, NAN, NAN, NAN, NAN, NAN,22.50,78.90,3.86,3.86,3.83,3.84,3.85,110535.95,109067.43,108163.07,108403.17,108443.55,22.80,23.10,23.28,23.23,23.23
2023-10-27 14:24:57.429470,10206, NAN, NAN, NAN, NAN, NAN, NAN, NAN, NAN, NAN,22.50,78.90,3.86,3.86,3.83,3.84,3.85,110710.54,109067.43,108096.04,108386.27,108205.17,22.76,23.10,23.30,23.24,23.28
2023-10-27 14:24:58.578916,11355, NAN, NAN, NAN, NAN, NAN, NAN, NAN, NAN, NAN,22.50,78.90,3.87,3.86,3.83,3.84,3.85,111325.12,109309.09,108263.76,108403.17,108409.45,22.64,23.05,23.26,23.23,23.23
